Outcome,Predictor,Coef,StdError,DF,t_value,p_value,FDR,logPval,sig
z_wld,MT.DLOOP1_heteroplasmic,-0.286678575681042,0.368702676561922,142.558766661237,-0.777533210103768,0.438132657813936,0.979590438687123,0.358394373893782,no
comp_memory2,MT.ND6_heteroplasmic,-0.371171455160074,0.47958267652462,127.679527514145,-0.773946752726418,0.440392975593102,0.963519497167247,0.356159616779042,no
comp_overall,MT.ATP6_heteroplasmic,0.3464123293925,0.448930222767941,194.579415893502,0.771639581885681,0.441264023367595,0.88252804673519,0.355301479509189,no
comp_memory,MT.TQ_heteroplasmic,-0.6933943043551,0.904346254581905,114.909151805426,-0.766735418919458,0.444811230559942,0.947753673522063,0.351824256253699,no
comp_fluency,MT.CYB_heteroplasmic,-0.1641984570303,0.216690374497635,148.817956803103,-0.757756118198469,0.449795220204773,0.741072730089304,0.346985163950901,no
z_mocam,MT.ND6_heteroplasmic,-0.404547657123289,0.53766102193659,105.588874226152,-0.752421396786691,0.45347181466165,0.903711125950962,0.343449701144827,no
z_wld,MT.CO2_heteroplasmic,0.439953905665072,0.587610767386858,146.779408083845,0.748716548577854,0.455226178469801,0.979590438687123,0.341772771133916,no
z_moca,MT.ND3_heteroplasmic,0.757571749408552,1.02475285651404,142.62314819618,0.739272639830086,0.460956445326409,0.903207465648308,0.336340108120149,no
z_lf,MT.ATP6_heteroplasmic,0.366616587223358,0.497403634412931,178.376290384722,0.737060531646625,0.462053898027303,0.616071864036405,0.335307361563885,no
comp_memory,MT.ATP6_heteroplasmic,0.429809368517217,0.590833555149,162.547719155731,0.727462691940077,0.467989056105516,0.947753673522063,0.329764302756127,no
z_wld,MT.ND3_heteroplasmic,-0.72743613731372,1.01926984807406,171.644417839807,-0.713683563472648,0.476392161601124,0.979590438687123,0.322035392868068,no
comp_overall2,MT.CYB_heteroplasmic,-0.146326358433078,0.205374551544324,147.890757880208,-0.712485346079982,0.477286852429204,0.865058769934006,0.321220528751481,no
comp_fluency,MT.RNR2_heteroplasmic,-0.160868295275028,0.228113813895236,161.139683408673,-0.705210668867728,0.481697274558048,0.741072730089304,0.317225810915687,no
z_wld,MT.CO1_heteroplasmic,-0.253140526376701,0.360819033960956,153.156366521837,-0.701571986371687,0.484010819378714,0.979590438687123,0.31514493020692,no
z_wld,MT.TF_heteroplasmic,-0.652497396297202,0.962904947044695,128.957701344752,-0.677634275636259,0.499217560450619,0.979590438687123,0.301710146337113,no
z_wld,MT.TQ_heteroplasmic,-0.604019667168543,0.905142839816717,111.505793827981,-0.667319720819812,0.505946610968778,0.979590438687123,0.295895308822195,no
comp_memory2,MT.CO2_heteroplasmic,0.340611425016548,0.512319603869147,148.144536336577,0.664841677820208,0.507185385814202,0.963519497167247,0.294833268832335,no
z_wll,MT.DLOOP2_heteroplasmic,0.388362603943093,0.586940392138744,138.092212545403,0.66167298953126,0.509283402666714,0.952684798714205,0.293040477068891,no
comp_overall2,MT.CO2_heteroplasmic,0.274621880361782,0.42020290529403,156.927528953652,0.653545886765396,0.514360880531296,0.865058769934006,0.288732068885226,no
