Outcome,Predictor,Coef,StdError,t_value,p_value,FDR,logPval
first_comp_overall,MT.DLOOP1_heteroplasmic,-0.262648171505657,0.298946252293097,-0.878579910238004,0.380869186606483,0.738851101040674,0.419224161568728
first_z_af,MT.ATP8_heteroplasmic,-0.727168809020625,0.829552266731529,-0.876579859019253,0.38195187498816,0.863859164165951,0.417991353694915
first_comp_overall,MT.CYB_heteroplasmic,-0.24589477056527,0.282496197561598,-0.870435682631279,0.385289798704391,0.738851101040674,0.414212489624534
first_comp_fluency,MT.ND4_heteroplasmic,-0.454286519493746,0.528259979998177,-0.859967699039618,0.39101796920014,0.953831321247456,0.407803284176645
first_comp_overall,MT.RNR2_heteroplasmic,-0.231342751885598,0.269279942403859,-0.85911616669405,0.391486218807427,0.738851101040674,0.407283521476362
first_z_moca,MT.TF_heteroplasmic,-1.1726664969837,1.37154303893816,-0.854997957549746,0.39379959016807,0.673423602808004,0.404724740173112
first_z_wll,MT.TF_heteroplasmic,-0.995682592126729,1.18987275674287,-0.836797536950327,0.4038811372691,0.888289967125974,0.393746429502055
first_z_wll,MT.DLOOP2_heteroplasmic,0.565390676161809,0.677147464236578,0.834959452737869,0.404912396498857,0.888289967125974,0.39263892698897
first_comp_overall,MT.RNR1_heteroplasmic,-0.287732959198597,0.34567930500058,-0.832369641561602,0.406368105572371,0.738851101040674,0.391080385658905
first_comp_memory2,MT.CYB_heteroplasmic,-0.255386842678074,0.308326056536416,-0.828301200187115,0.408661293191004,0.796805731175835,0.388636495025451
first_z_wld,MT.ND6_heteroplasmic,-0.50824388719173,0.625195259239507,-0.812936246205645,0.417391639286515,0.793069648447689,0.379456254475397
first_comp_overall2,MT.CO2_heteroplasmic,0.491021316036386,0.606564469752504,0.809512163211169,0.419352204246941,0.838704408493882,0.377421069852276
first_comp_memory,MT.CYB_heteroplasmic,-0.24377592786699,0.303724487367866,-0.802621909018923,0.423313951774107,0.906561741492892,0.373337417614684
first_comp_memory,MT.ND2_heteroplasmic,0.326565751931141,0.4110600574986,0.794447784390371,0.428042443454767,0.906561741492892,0.368513165462789
first_z_moca,MT.ATP6_heteroplasmic,0.612536746874431,0.785741066779813,0.779565651805344,0.436770117266681,0.673423602808004,0.359747082643367
first_comp_memory2,MT.ND5_heteroplasmic,0.258957257562455,0.337759642274616,0.766690939801236,0.444328670365774,0.796805731175835,0.352295662946553
first_z_wld,MT.DLOOP1_heteroplasmic,-0.2489363683885,0.327198739303105,-0.760810903240964,0.447824005502629,0.793069648447689,0.348892629877366
first_z_moca,MT.TN_heteroplasmic,-1.03634387041217,1.36655703551369,-0.75836122714235,0.449323202038951,0.673423602808004,0.347441154838276
first_z_wld,MT.ND3_heteroplasmic,-0.819566348898315,1.08320872883393,-0.756609808508998,0.450330933752622,0.793069648447689,0.346468219822217
first_z_af,MT.CYB_heteroplasmic,-0.241201989973886,0.324068995735908,-0.744292089485929,0.45772736459221,0.863859164165951,0.339393123106573
first_comp_memory2,MT.TQ_heteroplasmic,0.794395020412185,1.07197296664676,0.74105881876586,0.459680186557786,0.796805731175835,0.337544215096906
first_comp_memory,MT.ND3_heteroplasmic,-0.785862955364769,1.06438059833028,-0.738328899077614,0.46133265344213,0.906561741492892,0.335985804642021
first_comp_overall2,MT.RNR2_heteroplasmic,-0.204314975015944,0.277500724245656,-0.736268258655339,0.462582208533374,0.84105856096977,0.334811074730917
first_comp_memory,MT.TQ_heteroplasmic,0.775241324912423,1.05587614568934,0.734216156011649,0.46382847692532,0.906561741492892,0.333642591204994
first_comp_overall,MT.CO2_heteroplasmic,0.431163945557566,0.589140152783218,0.731852927560037,0.465266030283413,0.772418521671594,0.33229865475024
first_z_af,MT.TF_heteroplasmic,-0.849800170088587,1.16163369850617,-0.731556058662388,0.465446792310477,0.863859164165951,0.332129958349002
first_z_wld,MT.ND1_heteroplasmic,-0.460837782877566,0.632275124463718,-0.728856418744037,0.467092395815931,0.793069648447689,0.330597202894324
first_z_moca,MT.ND3_heteroplasmic,0.972752676074512,1.3416034803005,0.725067197840476,0.469444076161437,0.673423602808004,0.328416136861321
first_comp_memory,MT.CO1_heteroplasmic,-0.26173970891961,0.364939612118055,-0.717213753257728,0.474226507980127,0.906561741492892,0.324014173791535
first_z_moca,MT.TI_heteroplasmic,-0.944091906094926,1.33846481949888,-0.705354292724998,0.481590413812482,0.673423602808004,0.317322166413389
first_comp_memory2,MT.TI_heteroplasmic,-0.744946361671734,1.07834804136551,-0.690821824768566,0.490619701453522,0.796805731175835,0.309255016136248
first_z_af,MT.RNR2_heteroplasmic,-0.210943599552888,0.308969677506348,-0.682732367963694,0.495705276274276,0.863859164165951,0.304776458450896
first_z_wll,MT.ND3_heteroplasmic,-0.787488783842529,1.16383749569801,-0.676631219352691,0.49955956704251,0.888289967125974,0.301412719459085
first_comp_overall,MT.TF_heteroplasmic,-0.681725254851042,1.0134651599088,-0.672667677014559,0.502072039086536,0.772418521671594,0.299233964263088
first_z_wld,MT.CO3_heteroplasmic,0.251150352833005,0.376905732956526,0.666347924354797,0.506092012194983,0.793069648447689,0.295770517239756
first_z_lf,MT.DLOOP1_heteroplasmic,-0.176707048487643,0.266412056358906,-0.663284728561931,0.508046630133887,0.965226621188362,0.294096424959292
first_comp_memory,MT.DLOOP1_heteroplasmic,-0.202345248512754,0.321658361631234,-0.629068827828992,0.530148396366231,0.906561741492892,0.275602547942207
first_comp_fluency,MT.ATP6_heteroplasmic,-0.382596670454529,0.609158001708504,-0.628074603602777,0.530797906278718,0.953831321247456,0.275070798869759
first_z_wld,MT.ND5_heteroplasmic,0.212453714249083,0.33878317532213,0.627108220610637,0.5314296181969,0.793069648447689,0.274554244692352
first_z_af,MT.ND3_heteroplasmic,0.708532697933912,1.13589595127464,0.623765492903495,0.533617677094873,0.863859164165951,0.272769792027041
first_z_moca,MT.CO3_heteroplasmic,0.301816816651235,0.485154225518498,0.622104891137813,0.53473682695187,0.673423602808004,0.271859905311982
first_comp_overall2,MT.TF_heteroplasmic,-0.643404085079595,1.0440280290296,-0.616270892341487,0.538540075101836,0.897566791836394,0.268781973428201
first_z_moca,MT.TQ_heteroplasmic,-0.820439076498259,1.33184991745732,-0.616014661820597,0.538738882246403,0.673423602808004,0.268621679112156
first_comp_memory,MT.ND6_heteroplasmic,-0.377070766818416,0.614792019511981,-0.613330614014368,0.540477483933188,0.906561741492892,0.267222393861002
first_comp_memory2,MT.ND3_heteroplasmic,-0.643683331914797,1.08124381738928,-0.595317468236723,0.552422933815165,0.796805731175835,0.257728300001757
first_comp_memory2,MT.ND6_heteroplasmic,-0.366632518602649,0.624240191191407,-0.587326038560422,0.557764011823084,0.796805731175835,0.253549510813715
first_comp_fluency,MT.ND3_heteroplasmic,0.60895001284953,1.03841527166739,0.586422435671364,0.558369526969726,0.953831321247456,0.253078291369885
first_comp_fluency,MT.CYB_heteroplasmic,-0.173408711348911,0.296402655513547,-0.585044391887997,0.559293590880225,0.953831321247456,0.252360157359218
